scope,category,item,amount,cadence,monthly_equivalent,essential,notes
personal,housing,Rent or mortgage,0.00,monthly,0.00,yes,Largest single line for most people
personal,housing,Renters or home insurance,0.00,monthly,0.00,yes,
personal,housing,Property tax escrow,0.00,monthly,0.00,yes,Zero if renting
personal,utilities,Electric,0.00,monthly,0.00,yes,Average the last 12 months
personal,utilities,Water and sewer,0.00,monthly,0.00,yes,
personal,utilities,Gas,0.00,monthly,0.00,yes,
personal,utilities,Internet,0.00,monthly,0.00,yes,Shared with business - see allocation note
personal,phone,Cell plan,0.00,monthly,0.00,yes,
personal,food,Groceries,0.00,monthly,0.00,yes,Essential food only - dining out is separate
personal,transport,Car payment,0.00,monthly,0.00,yes,
personal,transport,Auto insurance,0.00,monthly,0.00,yes,
personal,transport,Fuel,0.00,monthly,0.00,yes,
personal,transport,Maintenance reserve,0.00,monthly,0.00,yes,Set aside monthly so repairs are not a crisis
personal,health,Insurance premium,0.00,monthly,0.00,yes,
personal,health,Prescriptions,0.00,monthly,0.00,yes,
personal,health,Copay and deductible reserve,0.00,monthly,0.00,yes,
personal,debt,Credit card minimums,0.00,monthly,0.00,yes,Minimums only - payoff is a goal not a baseline
personal,debt,Student loan,0.00,monthly,0.00,yes,
personal,personal-care,Essentials,0.00,monthly,0.00,yes,Hygiene haircuts basics
personal,dining,Eating out,0.00,monthly,0.00,no,
personal,entertainment,Streaming and subscriptions,0.00,monthly,0.00,no,
personal,shopping,Clothing,0.00,monthly,0.00,no,
personal,travel,Travel reserve,0.00,monthly,0.00,no,
personal,gifts,Gifts and giving,0.00,monthly,0.00,no,
personal,hobbies,Hobbies,0.00,monthly,0.00,no,
business,software,Design suite,0.00,monthly,0.00,yes,
business,software,Hosting and domains,0.00,monthly,0.00,yes,
business,software,AI and API spend,0.00,monthly,0.00,yes,
business,phone,Business line,0.00,monthly,0.00,yes,
business,insurance,General liability,0.00,monthly,0.00,yes,
business,licenses,Business registration,0.00,annual,0.00,yes,Annual divided by 12
business,accounting,Bookkeeping software,0.00,monthly,0.00,yes,
business,equipment,Equipment replacement reserve,0.00,monthly,0.00,yes,Laptop and gear amortized not expensed at once
business,marketing,Ads and promotion,0.00,monthly,0.00,yes,Treat as essential once it is producing leads
business,banking,Bank and card fees,0.00,monthly,0.00,yes,
business,education,Training and courses,0.00,monthly,0.00,yes,
business,contractors,Subcontract labor,0.00,monthly,0.00,yes,Variable - scale with revenue
business,fees,Payment processing,0.00,variable,0.00,yes,Roughly 2.9 percent plus 30 cents per charge - model in pricing not here
business,conferences,Conferences and travel,0.00,monthly,0.00,no,
business,software,Nice-to-have tools,0.00,monthly,0.00,no,
