order,metric,value,what_it_answers
1,Cost to do you,0.00,Minimum monthly to keep your personal life running - essentials only
2,Cost to do business,0.00,Minimum monthly to keep the business alive - essentials only
3,MAGIC NUMBER,0.00,Baseline survival - the two above added. Below this you are going backwards
4,Lifestyle spend,0.00,Everything marked non-essential across both scopes
5,Tax reserve,0.00,Grossed up so the take-home actually covers the baseline plus lifestyle
6,Savings target,0.00,Paying yourself forward - not optional if you want out
7,FREEDOM NUMBER,0.00,What the business must clear monthly for the life to work without strain
8,Revenue target monthly,0.00,Freedom number with profit margin on top
9,Revenue target weekly,0.00,The number you check on Fridays
10,Pricing floor hourly,0.00,Never quote below this - it is a loss disguised as work
11,Deals per month needed,0.00,Revenue target divided by average ticket
12,Qualified leads per month needed,0.00,Deals divided by close rate - your real marketing target
13,Runway months,0.00,Cash on hand divided by the magic number
